epoch,relative_s,type,gimbal_0,gimbal_1,gimbal_2,gimbal_3,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16,channel_17,channel_18,channel_19,channel_20,channel_21,channel_22,channel_23,channel_24,channel_25,channel_26,channel_27,channel_28,channel_29,channel_30,channel_31,channel_32,elrs_timing_us,elrs_link_status,elrs_link_valid,elrs_seq,ext_sub_index,ext_descriptor,ext_value,idle
1776145580.446659,0.000000,channel,0,3000,2000,1000,32768,35768,34768,33768,65036,0,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,0,,,,,,,,False
1776145580.486659,0.040000,channel,200,2998,1920,1000,32968,35766,34688,33768,65036,524,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,256,,,,,,,,False
1776145580.526659,0.080000,channel,401,2992,1840,1000,33169,35760,34608,33768,65036,1048,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,512,,,,,,,,False
1776145580.566659,0.120000,channel,600,2982,1760,1000,33368,35750,34528,33768,65036,1572,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,768,,,,,,,,False
1776145580.606659,0.160000,channel,798,2969,1680,1000,33566,35737,34448,33768,65036,2097,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,1024,,,,,,,,False
1776145580.646659,0.200000,elrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,212,True,0,,,,
1776145580.646659,0.200000,channel,994,2951,1600,1000,33762,35719,34368,33768,65036,2621,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,1280,,,,,,,,False
1776145580.686659,0.240000,channel,1188,2930,1520,1000,33956,35698,34288,33768,65036,3145,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,1536,,,,,,,,False
1776145580.726659,0.280000,channel,1378,2905,1440,1000,34146,35673,34208,33768,65036,3669,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,1792,,,,,,,,False
1776145580.766659,0.320000,extended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,1144,
1776145580.766659,0.320000,extended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1480,
1776145580.766659,0.320000,extended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1375,
1776145580.766659,0.320000,channel,1565,2877,1360,1000,34333,35645,34128,33768,65036,4194,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,2048,,,,,,,,False
1776145580.806659,0.360000,channel,1748,2844,1280,1000,34516,35612,34048,33768,65036,4718,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,2304,,,,,,,,False
1776145580.846659,0.400000,elrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,227,True,1,,,,
1776145580.846659,0.400000,channel,1927,2808,1200,1000,34695,35576,33968,33768,65036,5242,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,2560,,,,,,,,False
1776145580.886659,0.440000,channel,2100,2769,1120,1000,34868,35537,33888,33768,65036,5767,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,2816,,,,,,,,False
