a7_cirq@f0420000 | mediatek,a7_cirq  | status=
a7_mbist_config@f0410000 | mediatek,a7_mbist_config  | status=
a7_ost@f0160000 | mediatek,a7_ost  | status=
a7_wdt@f0400000 | mediatek,a7_wdt  | status=
accdet | mediatek,pmic-accdet  | status=okay
aes_top0@10016000 | mediatek,aes_top0  | status=
afc_2g@83090000 | mediatek,afc_2g  | status=
afc_3g@87090000 | mediatek,afc_3g  | status=
ahb2dspio@82800000 | mediatek,ahb2dspio  | status=
alc@60000000 | mediatek,alc  | status=
amms_control | mediatek,amms  | status=
ap_ccif0@10209000 | mediatek,ap_ccif0  | status=
ap_ccif1@1020b000 | mediatek,ap_ccif1  | status=
ap_ccif2@1023c000 | mediatek,ap_ccif2  | status=
ap_ccif3@1023e000 | mediatek,ap_ccif3  | status=
ap_dma@11000000 | mediatek,ap_dma  | status=
apc@82c30000 | mediatek,apc  | status=
apcldmain@1021b000 | mediatek,apcldmain  | status=
apcldmain_ao@10014000 | mediatek,apcldmain_ao  | status=
apcldmamisc@1021b800 | mediatek,apcldmamisc  | status=
apcldmamisc_ao@10014800 | mediatek,apcldmamisc_ao  | status=
apcldmaout@1021b400 | mediatek,apcldmaout  | status=
apcldmaout_ao@10014400 | mediatek,apcldmaout_ao  | status=
apirq@1000b000 | mediatek,apirq  | status=
apmixed@1000c000 | mediatek,apmixed syscon  | status=
apxgpt@10008000 | mediatek,apxgpt  | status=
atf_logger | mediatek,atf_logger  | status=
audio@11220000 | mediatek,audio syscon  | status=
audio_sram@11221000 | mediatek,audio_sram  | status=
auxadc@11001000 | mediatek,auxadc  | status=
avc_mv@16024000 | mediatek,avc_mv  | status=
avc_vld@16023000 | mediatek,avc_vld  | status=
battery | mediatek,bat_gm30  | status=
bc@876c0000 | mediatek,bc  | status=
bfe@82ce0000 | mediatek,bfe  | status=
bpi_2g@83080000 | mediatek,bpi_2g  | status=
bpi_3g@87080000 | mediatek,bpi_3g  | status=
bpi_bsi_slv0@1021e000 | mediatek,bpi_bsi_slv0  | status=
bpi_bsi_slv1@1021f000 | mediatek,bpi_bsi_slv1  | status=
bpi_bsi_slv2@10225000 | mediatek,bpi_bsi_slv2  | status=
bsi_2g@83070000 | mediatek,bsi_2g  | status=
bsi_3g@87070000 | mediatek,bsi_3g  | status=
btcvsd@10001000 | mediatek,audio_bt_cvsd  | status=
btif@1100c000 | mediatek,btif  | status=
bus_dbg@10208000 | mediatek,bus_dbg-v2  | status=
c2ksys@38000000 | mediatek,c2ksys  | status=
ca9peri@10e00000 | mediatek,ca9peri  | status=
cam1@1a003000 | mediatek,cam1  | status=
cam2@1a004000 | mediatek,cam2  | status=
cam3@1a006000 | mediatek,cam3  | status=
cam4@1a008000 | mediatek,cam4  | status=
camsv1@1a050000 | mediatek,camsv1  | status=
camsv2@1a051000 | mediatek,camsv2  | status=
camsv3@1a052000 | mediatek,camsv3  | status=
camsv4@1a053000 | mediatek,camsv4  | status=
camsv5@1a054000 | mediatek,camsv5  | status=
camsv6@1a055000 | mediatek,camsv6  | status=
camsys@1a000000 | mediatek,camsys syscon  | status=
ccu@1a0a0000 | mediatek,ccu  | status=
charger | mediatek,charger  | status=
chipid@08000000 | mediatek,chipid  | status=
consys@18070000 | mediatek,mt6771-consys  | status=okay
cpu_dbgapb@0d410000 | mediatek,hw_dbg  | status=
cq_dma@10212000 | mediatek,mt-cqdma-v1  | status=
csd_acc@82c70000 | mediatek,csd_acc  | status=
dbg@87880000 | mediatek,dbg  | status=
dbg_tx@876d0000 | mediatek,dbg_tx  | status=
dbgapb@0d000000 | mediatek,dbgapb  | status=
dbi@1401d000 | mediatek,dbi  | status=
devapc@10207000 | mediatek,devapc  | status=
devapc_mpu_ao@10015000 | mediatek,devapc_mpu_ao  | status=
device_host_gpio | mediatek,device_host_gpio  | status=okay
dip1@15022000 | mediatek,dip1  | status=
dip2@15023000 | mediatek,dip2  | status=
dip3@15024000 | mediatek,dip3  | status=
dip4@15025000 | mediatek,dip4  | status=
dip5@15026000 | mediatek,dip5  | status=
dip6@15027000 | mediatek,dip6  | status=
disp_aal0@14010000 | mediatek,disp_aal0  | status=
disp_ccorr0@1400f000 | mediatek,disp_ccorr0  | status=
disp_color0@1400e000 | mediatek,disp_color0  | status=
disp_dither0@14012000 | mediatek,disp_dither0  | status=
disp_gamma0@14011000 | mediatek,disp_gamma0  | status=
disp_mutex@14016000 | mediatek,disp_mutex  | status=
disp_ovl0@14008000 | mediatek,disp_ovl0  | status=
disp_ovl0_2l@14009000 | mediatek,disp_ovl0_2l  | status=
disp_ovl1_2l@1400a000 | mediatek,disp_ovl1_2l  | status=
disp_pwm0@1100e000 | mediatek,disp_pwm0  | status=
disp_rdma0@1400b000 | mediatek,disp_rdma0  | status=
disp_rdma1@1400c000 | mediatek,disp_rdma1  | status=
disp_rsz@1401a000 | mediatek,disp_rsz  | status=
disp_split@14013000 | mediatek,disp_split  | status=
disp_wdma0@1400d000 | mediatek,disp_wdma0  | status=
dispsys | mediatek,dispsys  | status=
divider@83040000 | mediatek,divider  | status=
dm9051 | mediatek,dm9051  | status=
dma-controller@11000780 | mediatek,mt6577-uart-dma  | status=
dpa_bc@870b0000 | mediatek,dpa_bc  | status=
dpa_mac@87630000 | mediatek,dpa_mac  | status=
dpa_rlc@87620000 | mediatek,dpa_rlc  | status=
dpe@15028000 | mediatek,dpe  | status=
dpe_dma@15028000 | mediatek,dpe_dma  | status=
dpi0@14015000 | mediatek,dpi0  | status=
dramc@1022a000 | mediatek,dramc  | status=
dsi0@14014000 | mediatek,dsi0  | status=
dsi1@1401f000 | mediatek,dsi1  | status=
dsi_te | mediatek, DSI_TE-eint  | status=okay
dvfsp@0011bc00 | mediatek,mt6771-dvfsp  | status=
dvfsp@10227000 | mediatek,dvfsp  | status=
dvfsrc_top@10012000 | mediatek,dvfsrc_top  | status=
dwrap0@87890000 | mediatek,dwrap0  | status=
dwrap1@878c0000 | mediatek,dwrap1  | status=
dxcc_sec@10210000 | mediatek,dxcc_sec  | status=
dynamic_options | mediatek,dynamic_options  | status=
eaf@1502d000 | mediatek,eaf  | status=
eem_fsm@1100b000 | mediatek,eem_fsm  | status=
efusec@11f10000 | mediatek,efusec  | status=
emi@10219000 | mediatek,emi  | status=
fcs@83050000 | mediatek,fcs  | status=
fdvt@1502b000 | mediatek,fdvt  | status=
fdvt_dma@1502b000 | mediatek,fdvt_dma  | status=
fhctl@1000ce00 | mediatek,fhctl  | status=
fingerprint | mediatek,goodix-fp  | status=
flashlight_core | mediatek,flashlight_core  | status=
flashlights_ha7109 | mediatek,flashlights_ha7109  | status=
flashlights_lm3642 | mediatek,flashlights_lm3642  | status=
flashlights_mt6370 | mediatek,flashlights_mt6370  | status=
flashlights_rt4509 | mediatek,flashlights_rt4509  | status=
fmem_smi@10238000 | mediatek,fmem_smi  | status=
gauge_timer | mediatek,gauge_timer_service  | status=
gce@10238000 | mediatek,gce  | status=
gcpu_rsa@1021a000 | mediatek,gcpu_rsa  | status=
gcu@83060000 | mediatek,gcu  | status=
gic@1023a000 | mediatek,gic  | status=
gpio | mediatek,gpio_usage_mapping  | status=
gpio@10005000 | mediatek,gpio  | status=
gpufreq | mediatek,mt6771-gpufreq  | status=
h_rxbrp@87650000 | mediatek,h_rxbrp  | status=
h_txbrp@876a0000 | mediatek,h_txbrp  | status=
hacc@1000a000 | mediatek,hacc  | status=
hevc_vld@16028000 | mediatek,hevc_vld  | status=
host_power | mediatek,host_power  | status=
hsce@87220000 | mediatek,hsce  | status=
hsce_dc@87420000 | mediatek,hsce_dc  | status=
hseq@87210000 | mediatek,hseq  | status=
hseq_dc@87410000 | mediatek,hseq_dc  | status=
hspasys_1_confg@87200000 | mediatek,hspasys_1_confg  | status=
hspasys_1_mbist@87230000 | mediatek,hspasys_1_mbist  | status=
hspasys_2_confg@87400000 | mediatek,hspasys_2_confg  | status=
hspasys_2_mbist@87440000 | mediatek,hspasys_2_mbist  | status=
hspasys_3_confg@f0910000 | mediatek,hspasys_3_confg  | status=
hspasys_3_mbist@876e0000 | mediatek,hspasys_3_mbist  | status=
hspasys_4_confg@87870000 | mediatek,hspasys_4_confg  | status=
hspasys_4_mbist@878b0000 | mediatek,hspasys_4_mbist  | status=
i2c6@11005000 | mediatek,i2c6  | status=
i2c@11005000 | mediatek,mt6771-i2c  | status=
i2c@11007000 | mediatek,mt6771-i2c  | status=
i2c@11008000 | mediatek,mt6771-i2c  | status=
i2c@11009000 | mediatek,mt6771-i2c  | status=
i2c@1100f000 | mediatek,mt6771-i2c  | status=
i2c@11011000 | mediatek,mt6771-i2c  | status=
i2c@11014000 | mediatek,mt6771-i2c  | status=
i2c@11015000 | mediatek,mt6771-i2c  | status=
i2c@11016000 | mediatek,mt6771-i2c  | status=
i2c@11017000 | mediatek,mt6771-i2c  | status=
i2c@1101a000 | mediatek,mt6771-i2c  | status=
i2c@1101b000 | mediatek,mt6771-i2c  | status=
